row_id,molecular_weight,logp,heavy_atoms,vendor_activity_index
ACT-0164,430.5110000000002,2.1131,29,7.892185
ACT-0165,387.4170000000001,1.9158,27,8.050155
ACT-0166,367.3900000000001,1.6504999999999999,26,8.796494
ACT-0167,460.53700000000026,1.9886000000000004,31,9.272689
ACT-0168,394.43400000000014,0.5058000000000005,26,7.808208
ACT-0169,358.42300000000006,2.2257,25,7.107324
ACT-0170,393.42400000000015,3.1751000000000014,28,8.050056
ACT-0171,421.4820000000002,2.2824999999999998,30,7.671049
ACT-0172,398.46900000000005,3.349000000000001,27,6.018782
ACT-0173,363.8260000000001,2.7826000000000013,24,7.645055
ACT-0174,331.3570000000001,0.6845000000000003,23,7.141203
ACT-0175,344.3960000000001,1.6646999999999996,24,8.080285
ACT-0176,343.4080000000001,2.3559399999999995,24,5.022209
ACT-0177,400.4850000000001,2.7506000000000004,27,7.605422
ACT-0178,383.3890000000001,1.7573,27,8.623037
ACT-0179,359.3670000000001,0.20119999999999955,25,5.961707
ACT-0180,346.36800000000005,1.1108999999999998,24,7.937945
ACT-0181,357.3550000000001,0.3735999999999998,25,8.009818
ACT-0182,358.4230000000001,2.2257,25,8.61697
ACT-0183,382.4050000000001,1.4923999999999997,27,7.727864
ACT-0184,329.3810000000001,2.04752,23,5.007561
ACT-0185,390.8120000000001,1.6320000000000001,26,8.632053
ACT-0186,358.4230000000001,1.8050999999999997,25,6.498772
ACT-0187,357.3950000000001,1.2634699999999994,25,6.187649
ACT-0188,442.23800000000006,1.7069,23,7.950836
ACT-0189,453.4840000000002,0.7979000000000005,32,7.945365
ACT-0190,372.4310000000001,2.3487999999999998,25,8.55714
ACT-0191,385.47000000000014,3.2460000000000013,26,7.290132
ACT-0192,372.4500000000001,2.3998,26,4.978043
ACT-0193,416.48400000000015,1.9720000000000002,28,8.315167
ACT-0194,476.5830000000002,5.119040000000004,33,6.535926
ACT-0195,386.4580000000001,2.4899000000000004,26,8.130648
ACT-0196,395.23800000000006,1.8648,23,7.190457
ACT-0197,372.4500000000001,2.3007999999999997,26,8.948657
ACT-0198,334.33200000000005,1.2414,23,7.493003
ACT-0199,395.42200000000014,-0.2502999999999991,26,7.366868
ACT-0200,373.3900000000001,1.5256999999999996,26,8.652959
ACT-0201,463.54400000000015,3.9215000000000018,32,8.25763
ACT-0202,414.46800000000013,2.5262000000000002,28,7.123638
ACT-0203,370.4340000000001,2.525499999999999,26,8.813309
ACT-0204,415.4710000000001,2.5519,29,8.529412
ACT-0205,363.82600000000014,2.70092,24,4.985037
ACT-0206,383.4540000000002,3.1298000000000012,26,7.846033
ACT-0207,329.38100000000003,2.1292,23,6.452782
ACT-0208,361.3390000000001,1.0105000000000002,25,7.844259
ACT-0209,380.8130000000001,1.764299999999999,25,7.252925
ACT-0210,359.3630000000001,1.4373,25,7.557552
ACT-0211,396.4280000000001,2.784200000000001,28,8.701672
ACT-0212,359.3670000000001,0.20119999999999955,25,8.332261
ACT-0213,373.4190000000001,1.712,25,8.136615
ACT-0214,408.4390000000001,2.8946000000000014,29,5.001971
ACT-0215,364.81400000000014,2.0641199999999995,24,7.869063
ACT-0216,414.47200000000015,1.8731699999999998,28,8.462356
ACT-0217,360.3950000000001,1.501,25,7.03664
ACT-0218,374.4220000000001,1.8894999999999997,26,8.485047
ACT-0219,445.5010000000002,0.8506,31,8.187931
ACT-0220,562.6700000000001,2.6759000000000013,38,8.356803
ACT-0221,350.4260000000002,3.386800000000002,26,4.84793
ACT-0222,434.54800000000023,2.7964,32,4.795512
ACT-0223,462.6020000000004,3.5287000000000024,34,4.821868
ACT-0224,480.5920000000003,3.4783000000000017,35,4.795859
ACT-0225,478.60100000000034,2.5011,35,4.815621
ACT-0226,492.62800000000044,3.1552000000000016,36,4.851611
ACT-0227,520.6820000000004,3.9338000000000033,38,4.827402
ACT-0228,522.6540000000003,2.5176999999999996,38,4.826403
ACT-0229,492.62800000000044,2.8896000000000006,36,4.823187
ACT-0230,492.62800000000044,2.8896000000000006,36,4.806603
ACT-0231,506.65500000000037,3.279700000000001,37,4.836076
ACT-0232,492.6280000000004,2.8912000000000004,36,4.827924
ACT-0233,508.62700000000035,1.8619999999999994,37,4.810048
ACT-0234,508.62700000000035,1.8619999999999994,37,4.822416
ACT-0235,508.62700000000035,1.8619999999999994,37,4.832315
ACT-0236,502.6670000000004,4.451400000000004,37,4.832945
ACT-0237,476.6290000000004,3.917200000000003,35,4.822951
ACT-0238,492.62800000000044,2.8896000000000006,36,4.834605
ACT-0239,520.6380000000004,3.0703000000000014,38,4.821091
ACT-0240,506.61100000000044,2.9819000000000004,37,4.827197
ACT-0241,530.7210000000003,5.0891000000000055,39,4.834991
ACT-0242,490.6560000000004,4.164800000000003,36,4.815547
ACT-0243,504.68300000000045,4.554900000000004,37,4.79226
ACT-0244,558.7310000000001,5.005800000000005,41,4.801907
ACT-0245,518.7100000000004,4.945000000000005,38,4.830898
ACT-0246,516.5720000000002,4.071100000000003,37,4.80668
ACT-0247,491.60000000000036,1.9940999999999995,36,4.779008
ACT-0248,473.5850000000003,3.0323800000000016,35,4.811812
ACT-0249,487.61200000000036,3.422480000000002,36,4.807708
ACT-0250,476.5850000000004,3.0553000000000017,35,4.831536
ACT-0251,502.6230000000004,3.445400000000002,37,4.801452
ACT-0252,544.7040000000002,4.615700000000004,40,4.831063
ACT-0253,558.7310000000001,5.005800000000005,41,4.805358
ACT-0254,558.7310000000001,5.005800000000005,41,4.843616
ACT-0255,491.60000000000036,1.9940999999999995,36,4.811672
ACT-0256,519.6540000000003,2.5969999999999995,38,4.781126
ACT-9001,506.6050000000003,4.936920000000004,37,7.315044
ACT-9002,477.5630000000003,5.565920000000005,35,7.464242
ACT-9003,506.56100000000026,3.903520000000003,37,5.006751
ACT-9004,520.5880000000003,4.245720000000003,38,8.004894
ACT-9005,507.5450000000003,4.3305200000000035,37,
ACT-9006,449.5090000000002,4.787320000000003,33,
ACT-9007,507.5450000000003,4.066520000000002,37,
ACT-9008,521.5280000000002,3.8571200000000028,38,6.528743
ACT-9009,517.5060000000002,5.719820000000004,37,6.991373
