request_id,compound_id,source_id,smiles,vial_id,mass_mg,purity_pct,delivery_days,handling_usd,stock_origin,canonical_smiles,identity_status,identity_reason
STOCK-18,CED-18,CHEMBL4207796,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCF)C5)ncc3F)cc2n1C(C)C,VIAL-18,1.6,97,0,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCF)C5)ncc3F)cc2n1C(C)C,valid,valid distinct vial and chemical graph
STOCK-19,CED-19,CHEMBL5956369,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCCC1,VIAL-19,1.9,97,1,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCCC1,valid,valid distinct vial and chemical graph
STOCK-20,CED-20,CHEMBL6021833,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CC1,VIAL-20,0.7,97,2,150,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CC1,valid,valid distinct vial and chemical graph
STOCK-21,CED-21,CHEMBL5870326,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C1CC1,VIAL-21,1.0,97,0,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C1CC1,valid,valid distinct vial and chemical graph
STOCK-22,CED-22,CHEMBL4466497,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,VIAL-22,1.3,97,1,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,valid,valid distinct vial and chemical graph
STOCK-23,CED-23,OPENFF:lig_1h1q,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,VIAL-23,1.6,97,2,300,simulated_stock_for_real_chemical,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,valid,valid distinct vial and chemical graph
STOCK-24,CED-24,OPENFF:lig_1oiu,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,VIAL-24,1.9,97,0,150,simulated_stock_for_real_chemical,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,valid,valid distinct vial and chemical graph
STOCK-25,CED-01,CHEMBL5988596,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)(C)C,VIAL-01,1.0,97,1,200,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)(C)C,duplicate,same physical vial as STOCK-01; stock not additive
STOCK-26,CED-02,CHEMBL5867735,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CN(CCN(C)C)C5=O)ncc3F)cc2n1C(C)C,VIAL-02,1.3,97,2,250,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CN(CCN(C)C)C5=O)ncc3F)cc2n1C(C)C,duplicate,same physical vial as STOCK-02; stock not additive
STOCK-27,CED-INVALID,SIM-INVALID,C1CC,VIAL-INVALID,1.0,97,1,200,simulated_stock_for_real_chemical,,quarantined,invalid SMILES
STOCK-28,CED-03,CHEMBL5781074,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCC1,VIAL-CONFLICT,1.6,97,0,300,simulated_stock_for_real_chemical,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCC1,quarantined,compound identifier has conflicting graph; differs from established inventory representative STOCK-03
